,Date,Portfolio name,Currency,Campaign Name,Ad Group Name,Targeting,Match Type,Customer Search Term,Impressions,Clicks,Click-Thru Rate (CTR),Cost Per Click (CPC),Spend,7 Day Total Sales ,Total Advertising Cost of Sales (ACoS) ,Total Return on Advertising Spend (RoAS),7 Day Total Orders (#),7 Day Total Units (#),7 Day Conversion Rate,7 Day Advertised SKU Units (#),7 Day Other SKU Units (#),7 Day Advertised SKU Sales ,7 Day Other SKU Sales 
0,2020-09-30,Puzzles - switzerland,USD,Puzzles - switzerland - MANU,keywords,1000 piece puzzles for adults,EXACT,1000 piece puzzles for adults,338,1,0.0029585798816568,1.18,1.18,0.0,,0.0,0,0,0.0,0,0,0.0,0.0
1,2020-10-01,Puzzles - switzerland,USD,Puzzles - switzerland - MANU,keywords,1000 piece puzzles for adults,EXACT,1000 piece puzzles for adults,743,3,0.00403768506056528,1.17666666666667,3.53,0.0,,0.0,0,0,0.0,0,0,0.0,0.0
2,2020-10-02,Puzzles - switzerland,USD,Puzzles - switzerland - MANU,keywords,1000 piece puzzles for adults,EXACT,1000 piece puzzles for adults,1717,6,0.0034944670937682,1.09166666666667,6.55,0.0,,0.0,0,0,0.0,0,0,0.0,0.0
3,2020-10-03,Puzzles - switzerland,USD,Puzzles - switzerland - MANU,keywords,1000 piece puzzles for adults,EXACT,1000 piece puzzles for adults,315,4,0.0126984126984127,1.115,4.46,0.0,,0.0,0,0,0.0,0,0,0.0,0.0
4,2020-10-04,Puzzles - switzerland,USD,Puzzles - switzerland - MANU,keywords,1000 piece puzzles for adults,EXACT,1000 piece puzzles for adults,1879,6,0.00319318786588611,1.02333333333333,6.14,15.19,0.404213298222515,2.47394136807818,1,1,0.166666666666667,1,0,15.19,0.0
5,2020-10-05,Puzzles - switzerland,USD,Puzzles - switzerland - MANU,keywords,1000 piece puzzles for adults,EXACT,1000 piece puzzles for adults,1109,5,0.00450856627592426,0.756,3.78,0.0,,0.0,0,0,0.0,0,0,0.0,0.0
6,2020-10-06,Puzzles - switzerland,USD,Puzzles - switzerland - MANU,keywords,1000 piece puzzles for adults,EXACT,1000 piece puzzles for adults,1825,2,0.0010958904109589,1.115,2.23,0.0,,0.0,0,0,0.0,0,0,0.0,0.0
7,2020-10-15,Puzzles - switzerland,USD,Puzzles - switzerland - MANU,keywords,1000 piece puzzles for adults,EXACT,1000 piece puzzles for adults,3,1,0.333333333333333,0.65,0.65,0.0,,0.0,0,0,0.0,0,0,0.0,0.0
8,2020-09-30,Puzzles - switzerland,USD,Puzzles - switzerland - MANU,keywords,jigsaw puzzles 1000 pieces for adults,EXACT,jigsaw puzzles 1000 pieces for adults,606,1,0.00165016501650165,1.22,1.22,0.0,,0.0,0,0,0.0,0,0,0.0,0.0
9,2020-10-01,Puzzles - switzerland,USD,Puzzles - switzerland - MANU,keywords,jigsaw puzzles 1000 pieces for adults,EXACT,jigsaw puzzles 1000 pieces for adults,787,8,0.0101651842439644,1.14875,9.19,0.0,,0.0,0,0,0.0,0,0,0.0,0.0
10,2020-10-02,Puzzles - switzerland,USD,Puzzles - switzerland - MANU,keywords,jigsaw puzzles 1000 pieces for adults,EXACT,jigsaw puzzles 1000 pieces for adults,2663,8,0.00300413067968457,1.21125,9.69,15.19,0.637919684002633,1.56759545923633,1,1,0.125,1,0,15.19,0.0
11,2020-10-03,Puzzles - switzerland,USD,Puzzles - switzerland - MANU,keywords,jigsaw puzzles 1000 pieces for adults,EXACT,jigsaw puzzles 1000 pieces for adults,569,2,0.00351493848857645,1.145,2.29,0.0,,0.0,0,0,0.0,0,0,0.0,0.0
12,2020-10-04,Puzzles - switzerland,USD,Puzzles - switzerland - MANU,keywords,jigsaw puzzles 1000 pieces for adults,EXACT,jigsaw puzzles 1000 pieces for adults,1979,7,0.00353713996968166,1.33,9.31,15.19,0.612903225806452,1.63157894736842,1,1,0.142857142857143,1,0,15.19,0.0
13,2020-10-05,Puzzles - switzerland,USD,Puzzles - switzerland - MANU,keywords,jigsaw puzzles 1000 pieces for adults,EXACT,jigsaw puzzles 1000 pieces for adults,1086,1,0.000920810313075506,0.77,0.77,0.0,,0.0,0,0,0.0,0,0,0.0,0.0
