sku,campaign_name,group_name,searchterm,searchterm_type,impressions,clicks,orders,cvr
NY-MHXI-54LO,Switzerland Puzzle | ASIN,keywords,puzzles switzerland,Keyword,83,12,0,0.0
NY-MHXI-54LO,Switzerland Puzzle | Positive,Ad group 1,puzzle switzerland,Keyword,83,12,0,0.0
NY-MHXI-54LO,Switzerland Puzzle | Positive,Ad group 1,puzzles switzerland,Keyword,83,12,0,0.0
NY-MHXI-54LO,Switzerland Puzzle | ASIN,keywords,christmas puzzles for adults 1000 piece,Keyword,5764,40,0,0.0
NY-MHXI-54LO,Switzerland Puzzle | Test,Ad group 1,christmas puzzles for adults 1000 piece,Keyword,5764,40,0,0.0
NY-MHXI-54LO,Switzerland Puzzle | Explore-1,Ad group 1,christmas puzzles for adults 1000 piece,Keyword,5764,40,0,0.0
NY-MHXI-54LO,Switzerland Puzzle | Test,Ad group 1,puzzle for adults,Keyword,1436,10,0,0.0
NY-MHXI-54LO,Switzerland Puzzle | Test,Ad group 1,puzzles for adults,Keyword,1436,10,0,0.0
NY-MHXI-54LO,Entire Catalog 10-10-2020 ba07,Other - Jigsaw Puzzles,puzzles for adults,Keyword,1436,10,0,0.0
NY-MHXI-54LO,Switzerland Puzzle | Explore-1,Ad group 1,christmas jigsaw puzzles,Keyword,998,10,0,0.0
NY-MHXI-54LO,Switzerland Puzzle | Explore-1,Ad group 1,christmas jigsaw puzzle,Keyword,998,10,0,0.0
NY-MHXI-54LO,Switzerland Puzzle | AT,Jigsaw Puzzles,christmas jigsaw puzzles,Keyword,998,10,0,0.0
balloon-macaron,Balloon Macaron | ASIN,keywords,unicorn birthday balloon,Keyword,176,10,0,0.0
balloon-macaron,Balloon Macaron | ASIN,keywords,unicorn birthday balloons,Keyword,176,10,0,0.0
balloon-macaron,Balloon Macaron | Explore-1,Ad group 1,unicorn birthday balloons,Keyword,176,10,0,0.0
balloon-macaron,Balloon Macaron | AT,Ad group 1,unicorn birthday balloons,Keyword,176,10,0,0.0
balloon-macaron,Balloon Macaron | ASIN,ASIN,b07v956bmt,Product Targeting,741,9,0,0.0
balloon-macaron,Balloon Macaron | Positive,Ad group 1,pastel rainbow balloon arch,Keyword,509,8,0,0.0
balloon-macaron,Balloon Macaron | Positive,Ad group 1,pastel rainbow balloon arch,Keyword,509,8,0,0.0
balloon-macaron,Balloon Macaron | Positive,Ad group 1,pastel rainbow party decorations,Keyword,608,10,0,0.0
balloon-macaron,Balloon Macaron | Test,Ad group 1,pastel rainbow party decorations,Keyword,608,10,0,0.0
balloon-macaron,Balloon Macaron | Explore-2,Ad group 1,pastel rainbow party decorations,Keyword,608,10,0,0.0
balloon-macaron,Entire Catalog 10-10-2020 ba07,Other - Party Decorations,pastel rainbow party decorations,Keyword,608,10,0,0.0
balloon-macaron,Balloon Macaron | Explore-1,Ad group 1,macaron balloons,Keyword,429,9,0,0.0
6W-53CG-99ZL,Corn Rope Stick | ASIN,keywords,puppy toy,Keyword,640,11,0,0.0
6W-53CG-99ZL,Corn Rope Stick | ASIN,keywords,puppy toys,Keyword,640,11,0,0.0
6W-53CG-99ZL,Entire Catalog 10-10-2020 ba07,N / A - Chew Toys,puppy toy,Keyword,640,11,0,0.0
6W-53CG-99ZL,Entire Catalog 10-10-2020 ba07,N / A - Chew Toys,puppy toys,Keyword,640,11,0,0.0
6W-53CG-99ZL,Corn Rope Stick | Explore-2,Ad group 1,dog toys small dogs,Keyword,1123,17,0,0.0
