sku,campaign_name,group_name,targeting,match_type,searchterm_type,status,impressions,clicks,orders,cvr
NY-MHXI-54LO,Switzerland Puzzle | Test,Ad group 1,switzerland puzzles,EXACT,Keyword,launched,904,41,7,0.27698613451917825
NY-MHXI-54LO,Switzerland Puzzle | ASIN,keywords,1000 piece puzzles for adults,PHRASE,Keyword,launched,2975,10,1,0.18734149223404276
NY-MHXI-54LO,Switzerland Puzzle | Test,Ad group 1,1000 piece puzzles for adults,PHRASE,Keyword,launched,2975,10,1,0.18734149223404276
NY-MHXI-54LO,Switzerland Puzzle | Test,Ad group 1,1000 piece puzzles for adults,EXACT,Keyword,launched,2975,10,1,0.18734149223404276
balloon-macaron,,,b07wwbdm2q,,Product Targeting,ready to launch,1715,13,1,0.12119778463018852
balloon-macaron,Balloon Macaron | ASIN,keywords,unicorn birthday decoration,PHRASE,Keyword,launched,1553,24,2,0.12880412612035075
balloon-macaron,Balloon Macaron | ASIN,keywords,unicorn birthday decorations,PHRASE,Keyword,launched,1553,24,2,0.12880412612035075
balloon-macaron,Balloon Macaron | Explore-2,Ad group 1,unicorn birthday decorations,PHRASE,Keyword,launched,1553,24,2,0.12880412612035075
balloon-macaron,Balloon Macaron | Explore-2,Ad group 1,unicorn birthday decorations,EXACT,Keyword,launched,1553,24,2,0.12880412612035075
balloon-macaron,Balloon Macaron | Explore-2,Ad group 1,unicorn birthday decoration,PHRASE,Keyword,launched,1553,24,2,0.12880412612035075
balloon-macaron,Balloon Macaron | Explore-1,Ad group 1,unicorn birthday decorations,EXACT,Keyword,launched,1553,24,2,0.12880412612035075
balloon-macaron,Balloon Macaron | Explore-1,Ad group 1,unicorn birthday decorations,BROAD,Keyword,launched,1553,24,2,0.12880412612035075
balloon-macaron,Balloon Macaron | Test,Ad group 1,unicorn birthday decorations,EXACT,Keyword,launched,1553,24,2,0.12880412612035075
balloon-macaron,Balloon Macaron | Test,Ad group 1,unicorn birthday decorations,PHRASE,Keyword,launched,1553,24,2,0.12880412612035075
balloon-macaron,Balloon Macaron | ASIN,keywords,pastel balloon,PHRASE,Keyword,launched,2482,27,2,0.12452482208227073
balloon-macaron,Balloon Macaron | Explore-2,Ad group 1,pastel balloons,PHRASE,Keyword,launched,2482,27,2,0.12452482208227073
balloon-macaron,Balloon Macaron | Explore-2,Ad group 1,pastel balloons,EXACT,Keyword,launched,2482,27,2,0.12452482208227073
